area,ticket_date,waste_type,net_weight_kg,temperature (C),humidity (%),Holiday,,
Boralesgamuwa UC,04/02/2012,MSW,27120,27.5,75,1,,
Boralesgamuwa UC,05/02/2012,MSW,42200,26.25,77,1,,
Boralesgamuwa UC,06/02/2012,MSW,7420,26.75,81,0,,
Boralesgamuwa UC,07/02/2012,MSW,25930,27.25,74,1,,
Boralesgamuwa UC,08/02/2012,MSW,35470,27.5,76,0,,
Boralesgamuwa UC,09/02/2012,MSW,11740,27.75,77.5,0,,
Boralesgamuwa UC,10/02/2012,MSW,32830,27.5,79.5,0,,
Boralesgamuwa UC,11/02/2012,MSW,34760,27.75,80,0,,
Boralesgamuwa UC,12/02/2012,MSW,7300,28.75,70,0,,
Boralesgamuwa UC,13/02/2012,MSW,21390,27.75,71,0,,
Boralesgamuwa UC,14/02/2012,MSW,24330,26.25,76.5,0,,
Boralesgamuwa UC,15/02/2012,MSW,30060,25.25,89.5,0,,
Boralesgamuwa UC,16/02/2012,MSW,32760,26.75,83.5,0,,
Boralesgamuwa UC,17/02/2012,MSW,30310,27.5,77.5,0,,
Boralesgamuwa UC,18/02/2012,MSW,17980,27,79.5,0,,
Boralesgamuwa UC,19/02/2012,MSW,12360,27.25,65.5,0,,
Boralesgamuwa UC,20/02/2012,MSW,19970,27.25,77.5,1,,
Boralesgamuwa UC,21/02/2012,MSW,24880,27.75,70.5,0,,
Boralesgamuwa UC,22/02/2012,MSW,32840,26.25,67,0,,
Boralesgamuwa UC,23/02/2012,MSW,23340,26.5,70.5,0,,
Boralesgamuwa UC,24/02/2012,MSW,23580,27.25,72.5,0,,
Boralesgamuwa UC,25/02/2012,MSW,13570,27.5,74,0,,
Boralesgamuwa UC,26/02/2012,MSW,7470,27.67,73,0,,
Boralesgamuwa UC,27/02/2012,MSW,24290,26.75,78,0,,
Boralesgamuwa UC,28/02/2012,MSW,33100,26,83,0,,
Boralesgamuwa UC,29/02/2012,MSW,29940,27.25,82.5,0,,
Boralesgamuwa UC,01/03/2012,MSW,30020,28.5,74.5,0,,
Boralesgamuwa UC,02/03/2012,MSW,22590,28.5,80.5,0,,
Boralesgamuwa UC,03/03/2012,MSW,15700,29,76.5,0,,
Boralesgamuwa UC,04/03/2012,MSW,26990,28.5,75.5,0,,
Boralesgamuwa UC,05/03/2012,MSW,37440,28.5,77,0,,
Boralesgamuwa UC,06/03/2012,MSW,21330,28.25,78,0,,
Boralesgamuwa UC,07/03/2012,MSW,24420,28.75,72,1,,
Boralesgamuwa UC,08/03/2012,MSW,18020,29,72,0,,
Boralesgamuwa UC,09/03/2012,MSW,30020,28.5,78.5,0,,
Boralesgamuwa UC,10/03/2012,MSW,31170,28.5,74,0,,
Boralesgamuwa UC,11/03/2012,MSW,34820,28.25,77,0,,
Boralesgamuwa UC,12/03/2012,MSW,24110,28.5,70.5,0,,
Boralesgamuwa UC,13/03/2012,MSW,30190,27.75,80,0,,
Boralesgamuwa UC,14/03/2012,MSW,27770,28.25,74.5,0,,
Boralesgamuwa UC,15/03/2012,MSW,27160,26.75,81.5,0,,
Boralesgamuwa UC,16/03/2012,MSW,24740,27.5,81,0,,
Boralesgamuwa UC,17/03/2012,MSW,13850,27,78,0,,
Boralesgamuwa UC,18/03/2012,MSW,6580,28.75,75.5,0,,
Boralesgamuwa UC,19/03/2012,MSW,28260,28.75,72,0,,
Boralesgamuwa UC,20/03/2012,MSW,22660,28.5,77,0,,
Boralesgamuwa UC,21/03/2012,MSW,28270,28.5,75,0,,
Boralesgamuwa UC,22/03/2012,MSW,26820,28.5,75.5,0,,
Boralesgamuwa UC,23/03/2012,MSW,26250,28.75,75.5,0,,
Boralesgamuwa UC,24/03/2012,MSW,19170,29,75.5,0,,
Boralesgamuwa UC,25/03/2012,MSW,8920,28.25,75.5,0,,
Boralesgamuwa UC,26/03/2012,MSW,26270,28.25,70.5,0,,
Boralesgamuwa UC,27/03/2012,MSW,30050,28.5,71.5,0,,
Boralesgamuwa UC,28/03/2012,MSW,28410,28,75.5,0,,
Boralesgamuwa UC,29/03/2012,MSW,29450,28,76.5,0,,
Boralesgamuwa UC,30/03/2012,MSW,22790,29,77,0,,
Boralesgamuwa UC,31/03/2012,MSW,20560,29.25,78,0,,
Boralesgamuwa UC,01/04/2012,MSW,35210,28.5,75.5,0,,
Boralesgamuwa UC,02/04/2012,MSW,14470,28.25,72,0,,
Boralesgamuwa UC,03/04/2012,MSW,11380,28.25,72.5,0,,
Boralesgamuwa UC,04/04/2012,MSW,24370,28.25,78.5,0,,
Boralesgamuwa UC,05/04/2012,MSW,36350,28.75,76.5,0,,
Boralesgamuwa UC,06/04/2012,MSW,8200,29.5,75,1,,
Boralesgamuwa UC,07/04/2012,MSW,41000,29.25,76.5,0,,
Boralesgamuwa UC,08/04/2012,MSW,24010,27.25,75,0,,
Boralesgamuwa UC,09/04/2012,MSW,13120,27.5,76.5,0,,
Boralesgamuwa UC,10/04/2012,MSW,25290,27.75,78.5,0,,
Boralesgamuwa UC,11/04/2012,MSW,16600,28,77.5,0,,
Boralesgamuwa UC,12/04/2012,MSW,34750,25.75,78,1,,
Boralesgamuwa UC,13/04/2012,MSW,8940,28.25,84,1,,
Boralesgamuwa UC,14/04/2012,MSW,3810,28,77.5,0,,
Boralesgamuwa UC,15/04/2012,MSW,10750,26,73.5,0,,
Boralesgamuwa UC,16/04/2012,MSW,19090,27.75,80.5,0,,
Boralesgamuwa UC,17/04/2012,MSW,31020,28.25,80.5,0,,
Boralesgamuwa UC,18/04/2012,MSW,31470,27.5,79.5,0,,
Boralesgamuwa UC,19/04/2012,MSW,33350,28,82.5,0,,
Boralesgamuwa UC,20/04/2012,MSW,30740,26.25,77,0,,
Boralesgamuwa UC,21/04/2012,MSW,23160,27.5,82.5,0,,
Boralesgamuwa UC,22/04/2012,MSW,8110,27.25,82.5,0,,
Boralesgamuwa UC,23/04/2012,MSW,26720,26.33,80,0,,
Boralesgamuwa UC,24/04/2012,MSW,14320,25.75,90.5,0,,
Boralesgamuwa UC,25/04/2012,MSW,33520,27.75,80.5,0,,
Boralesgamuwa UC,26/04/2012,MSW,34100,26.75,86,0,,
Boralesgamuwa UC,27/04/2012,MSW,41100,27.75,80,0,,
Boralesgamuwa UC,28/04/2012,MSW,28350,28.75,81,0,,
Boralesgamuwa UC,29/04/2012,MSW,5570,28.5,82,0,,
Boralesgamuwa UC,30/04/2012,MSW,29830,27.5,86,0,,
Boralesgamuwa UC,01/05/2012,MSW,28590,29.25,73.5,1,,
Boralesgamuwa UC,02/05/2012,MSW,10280,29,75.5,0,,
Boralesgamuwa UC,03/05/2012,MSW,26560,28.75,72.5,0,,
Boralesgamuwa UC,04/05/2012,MSW,23800,29.5,67,0,,
Boralesgamuwa UC,05/05/2012,MSW,11480,30,65.5,1,,
Boralesgamuwa UC,06/05/2012,MSW,36710,29.5,74.5,1,,
Boralesgamuwa UC,07/05/2012,MSW,31880,29.5,78.5,0,,
Boralesgamuwa UC,08/05/2012,MSW,9740,30,68.5,0,,
Boralesgamuwa UC,09/05/2012,MSW,28260,29.75,74.5,0,,
Boralesgamuwa UC,10/05/2012,MSW,27110,30,65.5,0,,
Boralesgamuwa UC,11/05/2012,MSW,29740,30,71,0,,
Boralesgamuwa UC,12/05/2012,MSW,27620,29.75,68,0,,
Boralesgamuwa UC,13/05/2012,MSW,11680,29,77.5,0,,
Boralesgamuwa UC,14/05/2012,MSW,24510,30,73.5,0,,
Boralesgamuwa UC,15/05/2012,MSW,29740,29.75,77,0,,
Boralesgamuwa UC,16/05/2012,MSW,25230,29.25,76,0,,
Boralesgamuwa UC,17/05/2012,MSW,30690,29.5,74.5,0,,
Boralesgamuwa UC,18/05/2012,MSW,26930,29.75,75,0,,
Boralesgamuwa UC,19/05/2012,MSW,18030,30.25,76.5,0,,
Boralesgamuwa UC,20/05/2012,MSW,4870,30.25,77.5,0,,
Boralesgamuwa UC,21/05/2012,MSW,29960,30.25,75,0,,
Boralesgamuwa UC,22/05/2012,MSW,32310,30.25,69.5,0,,
Boralesgamuwa UC,23/05/2012,MSW,30250,30.25,73.5,0,,
Boralesgamuwa UC,24/05/2012,MSW,31680,30,78.5,0,,
Boralesgamuwa UC,25/05/2012,MSW,23510,28,82,0,,
Boralesgamuwa UC,26/05/2012,MSW,28700,28,81,0,,
Boralesgamuwa UC,27/05/2012,MSW,7690,29.33,75,0,,
Boralesgamuwa UC,28/05/2012,MSW,30070,28.75,79.5,0,,
Boralesgamuwa UC,29/05/2012,MSW,28740,29.25,77,0,,
Boralesgamuwa UC,30/05/2012,MSW,29680,29.5,75,0,,
Boralesgamuwa UC,31/05/2012,MSW,37080,29.75,75,0,,
Boralesgamuwa UC,01/06/2012,MSW,25530,29.5,77,0,,
Boralesgamuwa UC,02/06/2012,MSW,22690,29.75,76,0,,
Boralesgamuwa UC,03/06/2012,MSW,28180,29,80.5,0,,
Boralesgamuwa UC,04/06/2012,MSW,24730,29,80,1,,
Boralesgamuwa UC,05/06/2012,MSW,7490,30,80,0,,
Boralesgamuwa UC,06/06/2012,MSW,31910,26.75,83.5,0,,
Boralesgamuwa UC,07/06/2012,MSW,33710,28.5,81.5,0,,
Boralesgamuwa UC,08/06/2012,MSW,21950,29.25,79.5,0,,
Boralesgamuwa UC,09/06/2012,MSW,26670,29.5,79.5,0,,
Boralesgamuwa UC,10/06/2012,MSW,18980,29.25,77,0,,
Boralesgamuwa UC,11/06/2012,MSW,30980,29.25,76.5,0,,
Boralesgamuwa UC,12/06/2012,MSW,23610,29.25,78.5,0,,
Boralesgamuwa UC,13/06/2012,MSW,32490,27.75,78.5,0,,
Boralesgamuwa UC,14/06/2012,MSW,26030,27,85.5,0,,
Boralesgamuwa UC,15/06/2012,MSW,25410,29.25,75.5,0,,
Boralesgamuwa UC,16/06/2012,MSW,23490,29,78.5,0,,
Boralesgamuwa UC,17/06/2012,MSW,12880,29,77,0,,
Boralesgamuwa UC,18/06/2012,MSW,29080,28.25,79.5,0,,
Boralesgamuwa UC,19/06/2012,MSW,30200,28.5,72.5,0,,
Boralesgamuwa UC,20/06/2012,MSW,30790,28.75,77.5,0,,
Boralesgamuwa UC,21/06/2012,MSW,28670,28.5,77.5,0,,
Boralesgamuwa UC,22/06/2012,MSW,34460,29.25,77.5,0,,
Boralesgamuwa UC,23/06/2012,MSW,17390,28.25,79.5,0,,
Boralesgamuwa UC,24/06/2012,MSW,13690,28.5,82,0,,
Boralesgamuwa UC,25/06/2012,MSW,28090,27.5,82.5,0,,
Boralesgamuwa UC,26/06/2012,MSW,35700,28.75,79.5,0,,
Boralesgamuwa UC,27/06/2012,MSW,25730,28,78,0,,
Boralesgamuwa UC,28/06/2012,MSW,31400,26.75,83,0,,
Boralesgamuwa UC,29/06/2012,MSW,29360,28.5,76,0,,
Boralesgamuwa UC,30/06/2012,MSW,28870,28,78,0,,
Boralesgamuwa UC,01/07/2012,MSW,24330,27.25,83,0,,
Boralesgamuwa UC,02/07/2012,MSW,20690,26.75,84,0,,
Boralesgamuwa UC,03/07/2012,MSW,12760,28.25,83.5,1,,
Boralesgamuwa UC,04/07/2012,MSW,28000,29,76,0,,
Boralesgamuwa UC,05/07/2012,MSW,19970,29.25,77.5,0,,
Boralesgamuwa UC,06/07/2012,MSW,33890,29.25,77,0,,
Boralesgamuwa UC,07/07/2012,MSW,23630,28.5,77.5,0,,
Boralesgamuwa UC,08/07/2012,MSW,22550,28.75,74.5,0,,
Boralesgamuwa UC,09/07/2012,MSW,31170,27.67,80,0,,
Boralesgamuwa UC,10/07/2012,MSW,8980,27.25,79,0,,
Boralesgamuwa UC,11/07/2012,MSW,27320,27.75,76.5,0,,
Boralesgamuwa UC,12/07/2012,MSW,29480,28,74.5,0,,
Boralesgamuwa UC,13/07/2012,MSW,29250,28,76,0,,
Boralesgamuwa UC,14/07/2012,MSW,22550,27.5,80,0,,
Boralesgamuwa UC,15/07/2012,MSW,8890,27.75,80.5,0,,
Boralesgamuwa UC,16/07/2012,MSW,25380,28,77.5,0,,
Boralesgamuwa UC,17/07/2012,MSW,20870,28.25,81,0,,
Boralesgamuwa UC,18/07/2012,MSW,33660,28.25,82,0,,
Boralesgamuwa UC,19/07/2012,MSW,32180,28.5,78.5,0,,
Boralesgamuwa UC,20/07/2012,MSW,25950,28.5,76,0,,
Boralesgamuwa UC,21/07/2012,MSW,26540,28.75,77,0,,
Boralesgamuwa UC,22/07/2012,MSW,8840,29.25,78,0,,
Boralesgamuwa UC,23/07/2012,MSW,27860,29,75.5,0,,
Boralesgamuwa UC,24/07/2012,MSW,29030,28.25,79.5,0,,
Boralesgamuwa UC,25/07/2012,MSW,31870,28.75,75,0,,
Boralesgamuwa UC,26/07/2012,MSW,30050,28.75,76,0,,
Boralesgamuwa UC,27/07/2012,MSW,23340,28.75,73.5,0,,
Boralesgamuwa UC,28/07/2012,MSW,17770,28.5,77.5,0,,
Boralesgamuwa UC,29/07/2012,MSW,5180,28.5,76.5,0,,
Boralesgamuwa UC,30/07/2012,MSW,27670,29,75.5,0,,
Boralesgamuwa UC,31/07/2012,MSW,29540,29,76,0,,
Boralesgamuwa UC,01/08/2012,MSW,10940,29,74.5,1,,
Boralesgamuwa UC,02/08/2012,MSW,31910,29,75.5,0,,
Boralesgamuwa UC,03/08/2012,MSW,31060,28,79,0,,
Boralesgamuwa UC,04/08/2012,MSW,17330,28.5,76,0,,
Boralesgamuwa UC,05/08/2012,MSW,29850,28.75,80,0,,
Boralesgamuwa UC,06/08/2012,MSW,35870,28.5,81,0,,
Boralesgamuwa UC,07/08/2012,MSW,9220,28.25,80,0,,
Boralesgamuwa UC,08/08/2012,MSW,29360,28.25,81.5,0,,
Boralesgamuwa UC,09/08/2012,MSW,30070,28,80.5,0,,
Boralesgamuwa UC,10/08/2012,MSW,26640,28,82,0,,
Boralesgamuwa UC,11/08/2012,MSW,24670,26.75,83.5,0,,
Boralesgamuwa UC,12/08/2012,MSW,24070,27,83,0,,
Boralesgamuwa UC,13/08/2012,MSW,22970,28.5,81.5,0,,
Boralesgamuwa UC,14/08/2012,MSW,26210,28.25,80,0,,
Boralesgamuwa UC,15/08/2012,MSW,31960,28.75,77,0,,
Boralesgamuwa UC,16/08/2012,MSW,31300,27.5,84,0,,
Boralesgamuwa UC,17/08/2012,MSW,29920,27.5,78.5,0,,
Boralesgamuwa UC,18/08/2012,MSW,20920,29,75.5,0,,
Boralesgamuwa UC,19/08/2012,MSW,17050,28.75,77.5,1,,
Boralesgamuwa UC,20/08/2012,MSW,26480,29,73.5,0,,
Boralesgamuwa UC,21/08/2012,MSW,21900,27,84,0,,
Boralesgamuwa UC,22/08/2012,MSW,28350,27.75,81,0,,
Boralesgamuwa UC,23/08/2012,MSW,27630,27,85.5,0,,
Boralesgamuwa UC,24/08/2012,MSW,15150,26.25,87,0,,
Boralesgamuwa UC,25/08/2012,MSW,29630,27,82,0,,
Boralesgamuwa UC,26/08/2012,MSW,2460,28,78,0,,
Boralesgamuwa UC,27/08/2012,MSW,30000,28.5,77,0,,
Boralesgamuwa UC,28/08/2012,MSW,35040,28.25,79,0,,
Boralesgamuwa UC,29/08/2012,MSW,28900,26,89,0,,
Boralesgamuwa UC,30/08/2012,MSW,31390,25.25,89.5,0,,
Boralesgamuwa UC,31/08/2012,MSW,23840,27.5,80,1,,
Boralesgamuwa UC,01/09/2012,MSW,26940,28,82.5,0,,
Boralesgamuwa UC,02/09/2012,MSW,22130,27.25,84,0,,
Boralesgamuwa UC,03/09/2012,MSW,27960,27.75,85.5,0,,
Boralesgamuwa UC,04/09/2012,MSW,24150,25,92,0,,
Boralesgamuwa UC,05/09/2012,MSW,32010,28,80,0,,
Boralesgamuwa UC,06/09/2012,MSW,31080,28,80,0,,
Boralesgamuwa UC,07/09/2012,MSW,25760,25.5,91,0,,
Boralesgamuwa UC,08/09/2012,MSW,29180,28,82.5,0,,
Boralesgamuwa UC,09/09/2012,MSW,15470,27.33,84,0,,
Boralesgamuwa UC,10/09/2012,MSW,33790,28.25,75,0,,
Boralesgamuwa UC,11/09/2012,MSW,31410,28.75,80,0,,
Boralesgamuwa UC,12/09/2012,MSW,7080,29,77,0,,
Boralesgamuwa UC,13/09/2012,MSW,26890,29,75,0,,
Boralesgamuwa UC,14/09/2012,MSW,33270,29,75,0,,
Boralesgamuwa UC,15/09/2012,MSW,25300,28.75,78.5,0,,
Boralesgamuwa UC,16/09/2012,MSW,5350,28,80,0,,
Boralesgamuwa UC,17/09/2012,MSW,26390,28.75,75,0,,
Boralesgamuwa UC,18/09/2012,MSW,36350,28.75,78.5,0,,
Boralesgamuwa UC,19/09/2012,MSW,27040,29.25,75,0,,
Boralesgamuwa UC,20/09/2012,MSW,21610,28,79.5,0,,
Boralesgamuwa UC,21/09/2012,MSW,27290,28,75,0,,
Boralesgamuwa UC,22/09/2012,MSW,22190,26.5,82,0,,
Boralesgamuwa UC,23/09/2012,MSW,14660,26.5,85.5,0,,
Boralesgamuwa UC,24/09/2012,MSW,26510,26.25,85,0,,
Boralesgamuwa UC,25/09/2012,MSW,30670,27.25,82,0,,
Boralesgamuwa UC,26/09/2012,MSW,26650,28.75,73,0,,
Boralesgamuwa UC,27/09/2012,MSW,29670,28.5,73.5,0,,
Boralesgamuwa UC,28/09/2012,MSW,34610,29.25,79.5,0,,
Boralesgamuwa UC,29/09/2012,MSW,18330,28.75,73,1,,
Boralesgamuwa UC,30/09/2012,MSW,9710,28.5,77.5,0,,
Boralesgamuwa UC,01/10/2012,MSW,26010,28,80,0,,
Boralesgamuwa UC,02/10/2012,MSW,23140,28.75,76.5,0,,
Boralesgamuwa UC,03/10/2012,MSW,24060,28.75,77,0,,
Boralesgamuwa UC,04/10/2012,MSW,30250,28.75,78.5,0,,
Boralesgamuwa UC,05/10/2012,MSW,34220,27.67,75.5,0,,
Boralesgamuwa UC,06/10/2012,MSW,13390,27.67,80,0,,
Boralesgamuwa UC,07/10/2012,MSW,30040,29,79,0,,
Boralesgamuwa UC,08/10/2012,MSW,24610,29,76.5,0,,
Boralesgamuwa UC,09/10/2012,MSW,36270,27.67,79.5,0,,
Boralesgamuwa UC,10/10/2012,MSW,30310,28.25,78.5,0,,
Boralesgamuwa UC,11/10/2012,MSW,23550,28.67,74,0,,
Boralesgamuwa UC,12/10/2012,MSW,25010,29,80,0,,
Boralesgamuwa UC,13/10/2012,MSW,19160,28.25,78,0,,
Boralesgamuwa UC,14/10/2012,MSW,7610,28,76.5,0,,
Boralesgamuwa UC,15/10/2012,MSW,24400,27,76,0,,
Boralesgamuwa UC,16/10/2012,MSW,29930,27.25,81,0,,
Boralesgamuwa UC,17/10/2012,MSW,30000,26.67,85.5,0,,
Boralesgamuwa UC,18/10/2012,MSW,34940,24.75,84,0,,
Boralesgamuwa UC,19/10/2012,MSW,30670,26.75,78.5,0,,
Boralesgamuwa UC,20/10/2012,MSW,9680,27.75,78.5,0,,
Boralesgamuwa UC,21/10/2012,MSW,13930,26.75,80,0,,
Boralesgamuwa UC,22/10/2012,MSW,31300,25.25,80,0,,
Boralesgamuwa UC,23/10/2012,MSW,38340,25.75,81.5,0,,
Boralesgamuwa UC,24/10/2012,MSW,28100,26.5,82,0,,
Boralesgamuwa UC,25/10/2012,MSW,37880,27.25,81,0,,
Boralesgamuwa UC,26/10/2012,MSW,23140,27.25,80.5,1,,
Boralesgamuwa UC,27/10/2012,MSW,18130,28,77,0,,
Boralesgamuwa UC,28/10/2012,MSW,7790,26.75,85.5,0,,
Boralesgamuwa UC,29/10/2012,MSW,13670,24.5,93,1,,
Boralesgamuwa UC,30/10/2012,MSW,40760,26.5,86,0,,
Boralesgamuwa UC,31/10/2012,MSW,30380,27,80,0,,
Boralesgamuwa UC,01/11/2012,MSW,33040,24,93,0,,
Boralesgamuwa UC,02/11/2012,MSW,14500,27.5,81.5,0,,
Boralesgamuwa UC,03/11/2012,MSW,8810,27.25,81.5,0,,
Boralesgamuwa UC,04/11/2012,MSW,33660,28,81.5,0,,
Boralesgamuwa UC,05/11/2012,MSW,28800,27.5,80,0,,
Boralesgamuwa UC,06/11/2012,MSW,24330,27,74.5,0,,
Boralesgamuwa UC,07/11/2012,MSW,31840,26.75,78,0,,
Boralesgamuwa UC,08/11/2012,MSW,24070,26.5,80.5,0,,
Boralesgamuwa UC,09/11/2012,MSW,26490,26.5,82,0,,
Boralesgamuwa UC,10/11/2012,MSW,30360,26.5,82.5,0,,
Boralesgamuwa UC,11/11/2012,MSW,5550,26.75,78.5,0,,
Boralesgamuwa UC,12/11/2012,MSW,33150,27.25,72.5,0,,
Boralesgamuwa UC,13/11/2012,MSW,32960,28.67,74,1,,
Boralesgamuwa UC,14/11/2012,MSW,26710,27.25,76.5,0,,
Boralesgamuwa UC,15/11/2012,MSW,37310,26.75,78.5,0,,
Boralesgamuwa UC,16/11/2012,MSW,28510,26.75,77,0,,
Boralesgamuwa UC,17/11/2012,MSW,19510,27.25,71,0,,
Boralesgamuwa UC,18/11/2012,MSW,4230,27.5,69.5,0,,
Boralesgamuwa UC,19/11/2012,MSW,23480,28.25,71,0,,
Boralesgamuwa UC,20/11/2012,MSW,32690,28,71.5,0,,
Boralesgamuwa UC,21/11/2012,MSW,25560,28.25,74.5,0,,
Boralesgamuwa UC,22/11/2012,MSW,26360,25.5,46.5,0,,
Boralesgamuwa UC,23/11/2012,MSW,28750,27.75,79,0,,
Boralesgamuwa UC,24/11/2012,MSW,20490,26.75,82,0,,
Boralesgamuwa UC,25/11/2012,MSW,6700,26.5,81.5,0,,
Boralesgamuwa UC,26/11/2012,MSW,28970,27.25,76,0,,
Boralesgamuwa UC,27/11/2012,MSW,21090,27,82,1,,
Boralesgamuwa UC,28/11/2012,MSW,43850,27.25,74.5,0,,
Boralesgamuwa UC,29/11/2012,MSW,19030,27.25,71.5,0,,
Boralesgamuwa UC,30/11/2012,MSW,36760,26.75,68,0,,
Boralesgamuwa UC,01/12/2012,MSW,33900,26.75,65,0,,
Boralesgamuwa UC,02/12/2012,MSW,7580,26.75,66,0,,
Boralesgamuwa UC,03/12/2012,MSW,29930,26.5,78.5,0,,
Boralesgamuwa UC,04/12/2012,MSW,27770,26.5,81,0,,
Boralesgamuwa UC,05/12/2012,MSW,24190,27.75,79,0,,
Boralesgamuwa UC,06/12/2012,MSW,28050,27.25,77,0,,
Boralesgamuwa UC,07/12/2012,MSW,29950,27.25,81,0,,
Boralesgamuwa UC,08/12/2012,MSW,14450,26.5,78,0,,
Boralesgamuwa UC,09/12/2012,MSW,29890,27,79,0,,
Boralesgamuwa UC,10/12/2012,MSW,28420,27,77.5,0,,
Boralesgamuwa UC,11/12/2012,MSW,26870,26.75,78,0,,
Boralesgamuwa UC,12/12/2012,MSW,29560,27.25,76,0,,
Boralesgamuwa UC,13/12/2012,MSW,30330,27,72.5,0,,
Boralesgamuwa UC,14/12/2012,MSW,27000,28.5,60,0,,
Boralesgamuwa UC,15/12/2012,MSW,21990,26.5,75.5,0,,
Boralesgamuwa UC,16/12/2012,MSW,8520,26.5,80,0,,
Boralesgamuwa UC,17/12/2012,MSW,18410,24.25,92.5,0,,
Boralesgamuwa UC,18/12/2012,MSW,34600,24.75,87,0,,
Boralesgamuwa UC,19/12/2012,MSW,35330,25.75,83,0,,
Boralesgamuwa UC,20/12/2012,MSW,32550,26.5,83.5,0,,
Boralesgamuwa UC,21/12/2012,MSW,29430,25.75,81,0,,
Boralesgamuwa UC,22/12/2012,MSW,23180,25,84.5,0,,
Boralesgamuwa UC,23/12/2012,MSW,7710,26.75,78,0,,
Boralesgamuwa UC,24/12/2012,MSW,33850,27.25,79.5,0,,
Boralesgamuwa UC,25/12/2012,MSW,26620,26.75,85.5,1,,
Boralesgamuwa UC,26/12/2012,MSW,30830,27,83,0,,
Boralesgamuwa UC,27/12/2012,MSW,21210,25.67,84.5,1,,
Boralesgamuwa UC,28/12/2012,MSW,37700,27,88.5,0,,
Boralesgamuwa UC,29/12/2012,MSW,27130,27,83,0,,
Boralesgamuwa UC,30/12/2012,MSW,11820,27,82.5,0,,
Boralesgamuwa UC,31/12/2012,MSW,38500,27.25,81,0,,
Boralesgamuwa UC,01/01/2013,MSW,18240,28,72.5,0,,
Boralesgamuwa UC,02/01/2013,MSW,23150,27.75,73,0,,
Boralesgamuwa UC,03/01/2013,MSW,20450,26.25,81,0,,
Boralesgamuwa UC,04/01/2013,MSW,23720,24.75,90,0,,
Boralesgamuwa UC,05/01/2013,MSW,13610,28,69,0,,
Boralesgamuwa UC,06/01/2013,MSW,21900,27.25,73.5,0,,
Boralesgamuwa UC,07/01/2013,MSW,23100,25,85.5,0,,
Boralesgamuwa UC,08/01/2013,MSW,36470,26.5,79,0,,
Boralesgamuwa UC,09/01/2013,MSW,6810,26.33,84,0,,
Boralesgamuwa UC,10/01/2013,MSW,35040,24.25,92.5,0,,
Boralesgamuwa UC,11/01/2013,MSW,28750,25.75,86.5,0,,
Boralesgamuwa UC,12/01/2013,MSW,16820,28,66,0,,
Boralesgamuwa UC,13/01/2013,MSW,7260,25.5,65,0,,
Boralesgamuwa UC,14/01/2013,MSW,14540,25.75,68,1,,
Boralesgamuwa UC,15/01/2013,MSW,25850,26.25,66.5,0,,
